Cause of Death Code,Cause of Death Description,Census Region,Report Date,State,Drug Overdose Death Count
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/1999,Alabama,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/1999,Alabama,
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/1999,Alabama,31
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/1999,Alabama,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/1999,Alabama,76
X60,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/1999,Alabama,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/1999,Alabama,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/1999,Alabama,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/1999,Alabama,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/1999,Alabama,26
X85,"Assault by drugs, medicaments and biological substances", South,12/31/1999,Alabama,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/1999,Alabama,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent", South,12/31/1999,Alabama,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent", South,12/31/1999,Alabama,
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent", South,12/31/1999,Alabama,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent", South,12/31/1999,Alabama,11
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2000,Alabama,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2000,Alabama,
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2000,Alabama,25
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2000,Alabama,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2000,Alabama,96
X60,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2000,Alabama,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2000,Alabama,10
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2000,Alabama,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2000,Alabama,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2000,Alabama,29
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2000,Alabama,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2000,Alabama,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent", South,12/31/2000,Alabama,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent", South,12/31/2000,Alabama,
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent", South,12/31/2000,Alabama,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent", South,12/31/2000,Alabama,20
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2001,Alabama,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2001,Alabama,
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2001,Alabama,38
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2001,Alabama,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2001,Alabama,117
X60,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2001,Alabama,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2001,Alabama,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2001,Alabama,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2001,Alabama,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2001,Alabama,27
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2001,Alabama,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2001,Alabama,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent", South,12/31/2001,Alabama,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent", South,12/31/2001,Alabama,
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent", South,12/31/2001,Alabama,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent", South,12/31/2001,Alabama,10
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2002,Alabama,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2002,Alabama,
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2002,Alabama,50
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2002,Alabama,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2002,Alabama,109
X60,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2002,Alabama,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2002,Alabama,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2002,Alabama,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2002,Alabama,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2002,Alabama,22
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2002,Alabama,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2002,Alabama,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent", South,12/31/2002,Alabama,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent", South,12/31/2002,Alabama,
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent", South,12/31/2002,Alabama,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent", South,12/31/2002,Alabama,10
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2003,Alabama,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2003,Alabama,
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2003,Alabama,30
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2003,Alabama,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2003,Alabama,112
X60,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2003,Alabama,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2003,Alabama,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2003,Alabama,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2003,Alabama,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2003,Alabama,15
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2003,Alabama,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2003,Alabama,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent", South,12/31/2003,Alabama,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent", South,12/31/2003,Alabama,
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent", South,12/31/2003,Alabama,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent", South,12/31/2003,Alabama,14
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2004,Alabama,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2004,Alabama,12
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2004,Alabama,42
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2004,Alabama,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2004,Alabama,164
X60,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2004,Alabama,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2004,Alabama,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2004,Alabama,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2004,Alabama,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2004,Alabama,34
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2004,Alabama,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2004,Alabama,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent", South,12/31/2004,Alabama,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent", South,12/31/2004,Alabama,
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent", South,12/31/2004,Alabama,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent", South,12/31/2004,Alabama,16
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2005,Alabama,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2005,Alabama,
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2005,Alabama,41
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2005,Alabama,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2005,Alabama,164
X60,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2005,Alabama,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2005,Alabama,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2005,Alabama,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2005,Alabama,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2005,Alabama,18
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2005,Alabama,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2005,Alabama,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent", South,12/31/2005,Alabama,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent", South,12/31/2005,Alabama,11
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent", South,12/31/2005,Alabama,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent", South,12/31/2005,Alabama,25
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2006,Alabama,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2006,Alabama,
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2006,Alabama,83
